sample-id	absolute-filepath
6x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6.3.2F.fastq.gz
6x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6.3.6F.fastq.gz
6x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6.3.10F.fastq.gz
6x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6.3.14F.fastq.gz
6x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6.3.18F.fastq.gz
6x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6.3.22F.fastq.gz
6x1x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6x1x2F.fastq.gz
6x1x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6x1x6F.fastq.gz
6x1x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6x1x10F.fastq.gz
6x1x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/6x1x14F.fastq.gz
7x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/7.3.2F.fastq.gz
7x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/7.3.6F.fastq.gz
7x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/7.3.10F.fastq.gz
7x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/7.3.14F.fastq.gz
7x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/7.3.18F.fastq.gz
7x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/7.3.22F.fastq.gz
8x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/8.3.2F.fastq.gz
8x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/8.3.6F.fastq.gz
8x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/8.3.10F.fastq.gz
8x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/8.3.14F.fastq.gz
8x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/8.3.18F.fastq.gz
8x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/8.3.22F.fastq.gz
9x1x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9.1.2F.fastq.gz
9x1x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9.1.6F.fastq.gz
9x1x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9.1.10F.fastq.gz
9x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9.3.2F.fastq.gz
9x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9.3.6F.fastq.gz
9x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9.3.10F.fastq.gz
9x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9.3.14F.fastq.gz
9x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9.3.18F.fastq.gz
9x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9.3.22F.fastq.gz
9x1x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9x1x14F.fastq.gz
9x1x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9x1x18F.fastq.gz
9x1x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/9x1x22F.fastq.gz
10x1x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10.1.2F.fastq.gz
10x1x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10.1.6F.fastq.gz
10x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10.3.2F.fastq.gz
10x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10.3.6F.fastq.gz
10x3x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10.3.10F.fastq.gz
10x3x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10.3.14F.fastq.gz
10x3x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10.3.18F.fastq.gz
10x3x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10.3.22F.fastq.gz
10x1x12	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10x1x10F.fastq.gz
10x1x16	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10x1x14F.fastq.gz
10x1x20	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10x1x18F.fastq.gz
10x1x0	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/10x1x22F.fastq.gz
11x3x4	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/11.3.2F.fastq.gz
11x3x8	/Users/drgeasy/GoogleDrive/manifest_example/timedfeeding/2-rawfastq/FORWARD/11.3.6F.fastq.gz
